symbol,side,start,end,bars,gross_contribution,cost,net_contribution
BTC,short,2022-09-23 20:00:00+00:00,2022-09-26 16:00:00+00:00,18,-0.00283887398859358,0.00015225399589761175,-0.0029911279844911914
BTC,short,2022-10-03 04:00:00+00:00,2022-10-03 20:00:00+00:00,5,-0.0013879160124425237,7.202456366105293e-05,-0.0014599405761035766
BTC,short,2022-10-21 00:00:00+00:00,2022-10-22 16:00:00+00:00,11,-0.0028645674089192463,0.0003705061998835523,-0.0032350736088027987
BTC,long,2022-10-26 08:00:00+00:00,2022-11-03 00:00:00+00:00,47,-0.001884478648676957,0.00042656001553796543,-0.0023110386642149223
BTC,long,2022-11-04 20:00:00+00:00,2022-11-07 16:00:00+00:00,18,-0.006131274626774279,0.0005265412648788056,-0.006657815891653085
BTC,short,2022-11-08 12:00:00+00:00,2022-11-15 16:00:00+00:00,44,0.041779898696381684,0.0004999471065107213,0.04127995158987096
BTC,short,2022-11-21 04:00:00+00:00,2022-11-23 08:00:00+00:00,14,-0.003460593349206888,0.00014602313027658757,-0.0036066164794834755
BTC,short,2022-11-23 20:00:00+00:00,2022-11-25 08:00:00+00:00,10,-7.730628071418795e-05,1.2024832319347279e-05,-8.933111303353523e-05
BTC,short,2022-11-28 08:00:00+00:00,2022-11-28 12:00:00+00:00,2,-8.325362719045571e-05,2.7143737256063356e-05,-0.00011039736444651906
BTC,short,2022-12-07 16:00:00+00:00,2022-12-08 16:00:00+00:00,7,-0.0003773189280675556,7.80774491512599e-05,-0.0004553963772188155
BTC,short,2022-12-16 08:00:00+00:00,2023-01-04 08:00:00+00:00,115,0.0030101357233561425,0.0010129936782186152,0.0019971420451375273
BTC,long,2023-01-09 04:00:00+00:00,2023-01-09 16:00:00+00:00,4,0.002601298170321401,0.0004987360343176645,0.002102562136003736
BTC,long,2023-01-10 08:00:00+00:00,2023-01-10 08:00:00+00:00,1,-0.00023347763666843672,0.0005171188657000947,-0.0007505965023685314
BTC,long,2023-01-10 20:00:00+00:00,2023-01-26 16:00:00+00:00,96,0.11989260808233637,0.0008280129823799749,0.1190645950999564
BTC,long,2023-01-29 16:00:00+00:00,2023-01-30 16:00:00+00:00,7,-0.004464453539905659,0.0002234500220196387,-0.004687903561925298
BTC,long,2023-02-02 04:00:00+00:00,2023-02-03 12:00:00+00:00,9,-0.0009521356172123607,0.00026185160123491234,-0.001213987218447273
BTC,long,2023-02-15 20:00:00+00:00,2023-02-21 16:00:00+00:00,36,0.00880806019740587,0.0007375477949732854,0.008070512402432586
BTC,long,2023-03-12 08:00:00+00:00,2023-03-28 20:00:00+00:00,100,0.046568442225421745,0.0005873271337290674,0.04598111509169268
BTC,long,2023-03-31 00:00:00+00:00,2023-03-31 04:00:00+00:00,2,4.3714189047828304e-05,6.124145567008725e-06,3.759004348081958e-05
BTC,long,2023-04-02 16:00:00+00:00,2023-04-03 04:00:00+00:00,4,-0.0014890392896056961,0.00011135117685978144,-0.0016003904664654775
BTC,long,2023-04-03 16:00:00+00:00,2023-04-04 00:00:00+00:00,3,-0.0008147168365398182,5.06329193720269e-05,-0.000865349755911845
BTC,long,2023-04-05 12:00:00+00:00,2023-04-05 16:00:00+00:00,2,-1.2402972433014276e-05,6.576570935846552e-07,-1.306062952659893e-05
BTC,long,2023-04-10 20:00:00+00:00,2023-04-17 04:00:00+00:00,39,0.013329568872337506,0.0006098034298762369,0.01271976544246127
BTC,long,2023-04-30 20:00:00+00:00,2023-05-01 04:00:00+00:00,3,-0.0027873496374788823,7.011700263709704e-05,-0.0028574666401159792
BTC,long,2023-05-04 08:00:00+00:00,2023-05-07 00:00:00+00:00,17,-0.0009662844446206684,7.233030335178082e-05,-0.0010386147479724492
BTC,short,2023-05-17 04:00:00+00:00,2023-05-17 20:00:00+00:00,5,-0.0022557673808761463,0.000165098308441572,-0.0024208656893177183
BTC,short,2023-05-18 20:00:00+00:00,2023-05-21 20:00:00+00:00,19,-0.0037694871338654723,0.00048178363064504503,-0.004251270764510517
BTC,short,2023-05-22 04:00:00+00:00,2023-05-23 08:00:00+00:00,8,-0.006476095566751581,0.00038632204996726186,-0.006862417616718843
BTC,short,2023-05-24 08:00:00+00:00,2023-05-28 16:00:00+00:00,27,-0.002152765394776664,0.0004657503783905412,-0.0026185157731672053
BTC,long,2023-05-30 12:00:00+00:00,2023-05-30 16:00:00+00:00,2,-0.0002526487791195466,9.828082706541728e-05,-0.0003509296061849639
BTC,short,2023-05-31 12:00:00+00:00,2023-06-07 04:00:00+00:00,41,0.01339980253543055,0.0009509604833625373,0.012448842052068011
BTC,short,2023-06-08 16:00:00+00:00,2023-06-16 20:00:00+00:00,50,-0.0072118919495720735,0.0005274374183718664,-0.00773932936794394
BTC,long,2023-06-20 16:00:00+00:00,2023-06-28 20:00:00+00:00,50,0.015036492653786353,0.00032058153505171535,0.014715911118734638
BTC,long,2023-07-04 00:00:00+00:00,2023-07-04 20:00:00+00:00,6,-0.00045397232874438883,2.6100669776848957e-05,-0.0004800729985212378
BTC,long,2023-07-11 20:00:00+00:00,2023-07-13 08:00:00+00:00,10,-0.0008275545321587374,0.00010802367684111142,-0.0009355782089998488
BTC,long,2023-07-13 20:00:00+00:00,2023-07-26 00:00:00+00:00,74,-0.01426956596708479,0.0004685299761318767,-0.014738095943216668
BTC,long,2023-07-26 20:00:00+00:00,2023-07-28 16:00:00+00:00,12,0.00048068154533090646,0.00022066793407047848,0.000260013611260428
BTC,long,2023-07-29 20:00:00+00:00,2023-08-01 08:00:00+00:00,16,-0.003055361278307831,0.00041264739411021276,-0.003468008672418044
BTC,long,2023-08-02 08:00:00+00:00,2023-08-02 16:00:00+00:00,3,-0.00370531252026782,0.0003333333333333333,-0.004038645853601153
BTC,long,2023-08-08 20:00:00+00:00,2023-08-09 04:00:00+00:00,3,0.0016139565050994177,0.000393447622629524,0.0012205088824698937
BTC,short,2023-08-13 20:00:00+00:00,2023-08-31 20:00:00+00:00,109,0.024315593655653597,0.0018364883981932896,0.02247910525746031
BTC,short,2023-09-01 08:00:00+00:00,2023-09-08 04:00:00+00:00,42,-0.0037465172011137936,0.00036356719733036664,-0.0041100843984441604
BTC,short,2023-09-11 20:00:00+00:00,2023-09-12 12:00:00+00:00,5,-0.009467271626098029,0.00030221467207440956,-0.009769486298172439
BTC,long,2023-09-18 16:00:00+00:00,2023-09-18 20:00:00+00:00,2,-0.003541301039161539,0.0002557339412348336,-0.003797034980396373
BTC,long,2023-09-19 04:00:00+00:00,2023-09-20 04:00:00+00:00,7,0.0032242361612041443,0.00024971910427624966,0.0029745170569278946
BTC,long,2023-09-21 08:00:00+00:00,2023-09-22 20:00:00+00:00,10,-0.0074749691902900465,0.0005098336752072026,-0.00798480286549725
BTC,long,2023-09-23 04:00:00+00:00,2023-09-23 16:00:00+00:00,4,-2.6718674019130054e-05,8.869763858313869e-05,-0.00011541631260226874
