profile,symbol,side,start,end,bars,gross_contribution,cost,net_contribution,profile_name,sample,holding_days,entry_weight,average_abs_weight,maximum_abs_weight,status,result
risk20,BTC,long,2025-09-18 04:00:00+00:00,2025-09-21 16:00:00+00:00,22,-0.009043118327840763,0.0005934209525599724,-0.009636539280400735,20% target-vol,historical_validation,3.6666666666666665,0.19159217072124557,0.3609643006429456,0.5896297996907072,closed,loss
risk24,BTC,long,2025-09-18 04:00:00+00:00,2025-09-21 16:00:00+00:00,22,-0.01044508232800295,0.0006962798940465559,-0.011141362222049507,24% target-vol,historical_validation,3.6666666666666665,0.22991060486549467,0.4162009380983662,0.6923077289650927,closed,loss
risk20,BTC,short,2025-09-22 16:00:00+00:00,2025-09-24 08:00:00+00:00,11,0.0007240300032020554,0.000220698682945862,0.0005033313202561934,20% target-vol,historical_validation,1.8333333333333333,-0.077602063897996,0.1721342578071282,0.21819643057300264,closed,win
risk24,BTC,short,2025-09-22 16:00:00+00:00,2025-09-24 08:00:00+00:00,11,0.0008460583519582139,0.0002611795715491566,0.0005848787804090573,24% target-vol,historical_validation,1.8333333333333333,-0.0931224766775952,0.20597609078858764,0.25937177741576006,closed,win
risk20,BTC,short,2025-09-26 00:00:00+00:00,2025-09-28 16:00:00+00:00,17,-0.0025363033977951572,0.00036233186113428294,-0.00289863525892944,20% target-vol,historical_validation,2.8333333333333335,-0.15460264407920524,0.28574298386938385,0.3607135052819041,closed,loss
risk24,BTC,short,2025-09-26 00:00:00+00:00,2025-09-28 16:00:00+00:00,17,-0.002881346157507422,0.0004076348645537692,-0.0032889810220611913,24% target-vol,historical_validation,2.8333333333333335,-0.18552317289504625,0.33189264771235244,0.40587245054375254,closed,loss
risk20,BTC,long,2025-09-29 20:00:00+00:00,2025-10-10 20:00:00+00:00,67,0.022744204742769954,0.0009331340801553208,0.02181107066261463,20% target-vol,historical_validation,11.166666666666666,0.23673433154582227,0.502358616544104,0.6802688769407749,closed,win
risk20,ETH,long,2025-09-29 20:00:00+00:00,2025-09-29 20:00:00+00:00,1,0.0001429901431293765,2.3402776298991168e-05,0.00011958736683038533,20% target-vol,historical_validation,0.16666666666666666,0.02340277629899117,0.02340277629899117,0.02340277629899117,closed,win
risk24,BTC,long,2025-09-29 20:00:00+00:00,2025-10-10 20:00:00+00:00,67,0.028045823784545298,0.0011197608961863855,0.02692606288835891,24% target-vol,historical_validation,11.166666666666666,0.2730567067490611,0.601851116067258,0.81632265232893,closed,win
risk24,ETH,long,2025-09-29 20:00:00+00:00,2025-09-29 20:00:00+00:00,1,0.00020606166672371837,3.372550711953037e-05,0.000172336159604188,24% target-vol,historical_validation,0.16666666666666666,0.03372550711953037,0.03372550711953037,0.03372550711953037,closed,win
risk20,ETH,long,2025-09-30 04:00:00+00:00,2025-10-08 16:00:00+00:00,52,0.005684564608042228,0.0002567333022699438,0.005427831305772284,20% target-vol,historical_validation,8.666666666666666,0.12255022091490153,0.13317477636056088,0.1643730733269871,closed,win
risk24,ETH,long,2025-09-30 04:00:00+00:00,2025-10-08 16:00:00+00:00,52,0.006821477529650681,0.0003080799627239328,0.006513397566926748,24% target-vol,historical_validation,8.666666666666666,0.1470602650978818,0.15980973163267306,0.19724768799238454,closed,win
risk20,ETH,short,2025-10-10 20:00:00+00:00,2025-10-14 00:00:00+00:00,20,0.005346153097123301,0.00037343588458425874,0.0049727172125390426,20% target-vol,historical_validation,3.3333333333333335,-0.3684899008629518,0.23675802229177095,0.3684899008629518,closed,win
risk24,ETH,short,2025-10-10 20:00:00+00:00,2025-10-14 00:00:00+00:00,20,0.005889938386248701,0.0004453972944315782,0.005444541091817123,24% target-vol,historical_validation,3.3333333333333335,-0.41906433153752315,0.2829534492752242,0.4394621139660097,closed,win
risk20,BTC,short,2025-10-11 16:00:00+00:00,2025-10-25 00:00:00+00:00,81,0.008425390026424551,0.0009048072237157522,0.007520582802708799,20% target-vol,historical_validation,13.5,-0.043558285524612356,0.2668358796971142,0.5129419929245894,closed,win
risk24,BTC,short,2025-10-11 16:00:00+00:00,2025-10-25 00:00:00+00:00,81,0.010110468031709433,0.0010857686684589015,0.009024699363250531,24% target-vol,historical_validation,13.5,-0.05226994262953482,0.320203055636537,0.6155303915095073,closed,win
risk20,ETH,short,2025-10-14 16:00:00+00:00,2025-10-20 12:00:00+00:00,36,-0.002077794990484949,0.0002705321764155016,-0.0023483271669004504,20% target-vol,historical_validation,6.0,-0.023397603216202,0.12308795303728025,0.18558241604634484,closed,loss
risk24,ETH,short,2025-10-14 16:00:00+00:00,2025-10-20 12:00:00+00:00,36,-0.0024933539885819396,0.00032463861169860185,-0.0028179926002805415,24% target-vol,historical_validation,6.0,-0.028077123859442398,0.1477055436447363,0.22269889925561379,closed,loss
risk20,ETH,short,2025-10-21 00:00:00+00:00,2025-10-24 16:00:00+00:00,23,-0.007425161487192978,0.0004128490367239485,-0.007838010523916927,20% target-vol,historical_validation,3.8333333333333335,-0.07724745442629681,0.13030376838841756,0.2038793922097648,closed,loss
risk24,ETH,short,2025-10-21 00:00:00+00:00,2025-10-24 16:00:00+00:00,23,-0.008910193784631572,0.0004954188440687379,-0.00940561262870031,24% target-vol,historical_validation,3.8333333333333335,-0.09269694531155619,0.1563645220661011,0.24465527065171774,closed,loss
risk20,ETH,short,2025-10-25 00:00:00+00:00,2025-10-25 20:00:00+00:00,6,-0.0004530269329414438,5.8282093213240426e-05,-0.0005113090261546843,20% target-vol,historical_validation,1.0,-0.04409793542352397,0.04882392615892376,0.058282093213240425,closed,loss
risk24,ETH,short,2025-10-25 00:00:00+00:00,2025-10-25 20:00:00+00:00,6,-0.0005436323195297324,6.99385118558885e-05,-0.0006135708313856209,24% target-vol,historical_validation,1.0,-0.05291752250822876,0.05858871139070851,0.0699385118558885,closed,loss
risk20,BTC,long,2025-10-25 20:00:00+00:00,2025-10-29 16:00:00+00:00,24,0.0001346968939407087,0.00011310303470591867,2.1593859234790016e-05,20% target-vol,historical_validation,4.0,0.0655951009190001,0.07097187592150908,0.11239513782426591,closed,win
risk24,BTC,long,2025-10-25 20:00:00+00:00,2025-10-29 16:00:00+00:00,24,0.0001616362727288505,0.0001357236416471024,2.5912631081748117e-05,24% target-vol,historical_validation,4.0,0.07871412110280013,0.08516625110581089,0.1348741653891191,closed,win
risk20,ETH,short,2025-10-26 08:00:00+00:00,2025-10-26 08:00:00+00:00,1,-0.000341435977893497,5.834553188216193e-05,-0.0003997815097756589,20% target-vol,historical_validation,0.16666666666666666,-0.058345531882161926,0.058345531882161926,0.058345531882161926,closed,loss
risk24,ETH,short,2025-10-26 08:00:00+00:00,2025-10-26 08:00:00+00:00,1,-0.0004097231734721963,7.00146382585943e-05,-0.0004797378117307906,24% target-vol,historical_validation,0.16666666666666666,-0.0700146382585943,0.0700146382585943,0.0700146382585943,closed,loss
risk20,ETH,long,2025-10-26 16:00:00+00:00,2025-10-28 20:00:00+00:00,14,-0.00198975191228097,0.00026998209072054717,-0.0022597340030015172,20% target-vol,historical_validation,2.3333333333333335,0.047377803053331634,0.21448443053267743,0.26784543677534267,closed,loss
risk24,ETH,long,2025-10-26 16:00:00+00:00,2025-10-28 20:00:00+00:00,14,-0.0023877022947371607,0.0003239785088646566,-0.002711680803601817,24% target-vol,historical_validation,2.3333333333333335,0.05685336366399795,0.2573813166392129,0.32141452413041116,closed,loss
risk20,ETH,short,2025-10-29 08:00:00+00:00,2025-11-08 04:00:00+00:00,60,0.0115555353979902,0.0003640532479201443,0.011191482150070056,20% target-vol,historical_validation,10.0,-0.08121712503661666,0.0780567466496772,0.16413349870281002,closed,win
risk24,ETH,short,2025-10-29 08:00:00+00:00,2025-11-08 04:00:00+00:00,60,0.014736341129682539,0.0004096661232673116,0.014326675006415228,24% target-vol,historical_validation,10.0,-0.09746055004393996,0.09813835654071393,0.196960198443372,closed,win
