profile,profile_name,period_end,return,observations,complete,sample
risk20,20% target-vol,2023-04-16 00:00:00+00:00,0.03659682770331685,7,True,development
risk20,20% target-vol,2023-04-23 00:00:00+00:00,-0.006620418000704009,7,True,development
risk20,20% target-vol,2023-04-30 00:00:00+00:00,-0.0007729270892876672,7,True,development
risk20,20% target-vol,2023-05-07 00:00:00+00:00,-0.010477475886704113,7,True,development
risk20,20% target-vol,2023-05-14 00:00:00+00:00,0.0,7,True,development
risk20,20% target-vol,2023-05-21 00:00:00+00:00,-0.00584263846589983,7,True,development
risk20,20% target-vol,2023-05-28 00:00:00+00:00,-0.007142458032844079,7,True,development
risk20,20% target-vol,2023-06-04 00:00:00+00:00,0.0008680836449017626,7,True,development
risk20,20% target-vol,2023-06-11 00:00:00+00:00,-0.004241921844790664,7,True,development
risk20,20% target-vol,2023-06-18 00:00:00+00:00,0.005007682083558285,7,True,development
risk20,20% target-vol,2023-06-25 00:00:00+00:00,0.02178506989718798,7,True,development
risk20,20% target-vol,2023-07-02 00:00:00+00:00,-0.009023745244633785,7,True,development
risk20,20% target-vol,2023-07-09 00:00:00+00:00,-0.001597472448121695,7,True,development
risk20,20% target-vol,2023-07-16 00:00:00+00:00,-0.0033866210359461135,7,True,development
risk20,20% target-vol,2023-07-23 00:00:00+00:00,-0.001431678309893658,7,True,development
risk20,20% target-vol,2023-07-30 00:00:00+00:00,-0.006901814586955934,7,True,development
risk20,20% target-vol,2023-08-06 00:00:00+00:00,-0.0071687610254302925,7,True,development
risk20,20% target-vol,2023-08-13 00:00:00+00:00,-0.00533762272622007,7,True,development
risk20,20% target-vol,2023-08-20 00:00:00+00:00,0.09029853318056569,7,True,development
risk20,20% target-vol,2023-08-27 00:00:00+00:00,-0.004908509490703983,7,True,development
risk20,20% target-vol,2023-09-03 00:00:00+00:00,-0.020843873120711565,7,True,development
risk20,20% target-vol,2023-09-10 00:00:00+00:00,-0.0067218184232893385,7,True,development
risk20,20% target-vol,2023-09-17 00:00:00+00:00,-0.006215338932148096,7,True,development
risk20,20% target-vol,2023-09-24 00:00:00+00:00,-0.004709165838192253,7,True,development
risk20,20% target-vol,2023-10-01 00:00:00+00:00,-0.010866903432521058,7,True,development
risk20,20% target-vol,2023-10-08 00:00:00+00:00,-0.013045012204611739,7,True,development
risk20,20% target-vol,2023-10-15 00:00:00+00:00,0.005150274532986332,7,True,development
