shift_days,cagr,max_dd,sharpe,calmar,multiple
186,-0.10017085516090352,-0.3084750946753362,-0.7135142743022135,-0.3247291495812047,0.768096571789823
187,-0.009321715603834102,-0.21996364100917998,0.005261406727201083,-0.042378438368571414,0.9768615155121609
188,-0.016359374340265798,-0.22012669454242018,-0.04789294737820768,-0.07431799389107356,0.9596074147133963
189,0.004796382795666743,-0.22873833680219446,0.10356704778562008,0.020968862774474486,1.0120324691116676
190,0.04301476155296524,-0.17622041414368916,0.3736775866551194,0.24409635944840782,1.111014885711585
191,0.028376792874761803,-0.18458389132513864,0.27648934335879555,0.1537338533229695,1.0724486571862606
192,0.1051267980781232,-0.16163870983859618,0.7706112374102192,0.650381323775086,1.2838533495181694
193,-0.02917640008576672,-0.27745926168215573,-0.12456990883775104,-0.10515561783333018,0.9286567372164946
194,-0.11111791002754823,-0.42009296529754214,-0.7028378776327548,-0.26450790469401453,0.7449513241103147
195,-0.16463057370709044,-0.46133941310547366,-1.093366408590134,-0.35685347713712856,0.6378567808947337
196,-0.11877977010250407,-0.4306008885850091,-0.7179824525751409,-0.275846551299103,0.7290040485751443
197,-0.13031321496884674,-0.44223213321420674,-0.8871932239195854,-0.29467152018491183,0.7053877761267134
198,-0.05991792706367138,-0.3065912933107018,-0.36593496014794136,-0.1954325787162851,0.8568871118004434
199,-0.04359049979047225,-0.3164562666567359,-0.2285856394717123,-0.13774573103257715,0.8945741156293506
200,-0.0057446954347863954,-0.17471554614180052,0.03584978972857661,-0.032880276321398186,0.9857020234767403
201,-0.014632265598611971,-0.24223767591973033,-0.027142104461164517,-0.0604045821652476,0.9638246608085485
202,-0.09021126086038511,-0.2921657186426968,-0.5788945622788856,-0.3087674395184902,0.7895241967930132
203,-0.15223748770039447,-0.4062599205716696,-1.0514992347217254,-0.37472928042267406,0.6617745595496333
204,-0.09299962837992903,-0.31211371644116526,-0.5513660363778513,-0.29796713018685883,0.7834894818646003
205,-0.08453692191673046,-0.31872743851348284,-0.5025229677684104,-0.2652326461474523,0.8018907631085
206,-0.09253781984190201,-0.35104809376619517,-0.5214322534822387,-0.26360439348670556,0.7844870303307238
207,0.022928976675723467,-0.19058079131332328,0.22218111414759778,0.12031105820117627,1.0583037459549467
208,0.003203191388147175,-0.25151355841465817,0.09645891358081067,0.012735660885789025,1.0080261237871149
209,-0.023135430627784892,-0.25613365096851515,-0.07102338143046104,-0.0903256192238043,0.9431686881019756
210,-0.03866795544384671,-0.29576317102519967,-0.1742882092674663,-0.1307395890766674,0.9061277045544316
211,-0.022619263145647772,-0.20570879930289854,-0.05996348542526889,-0.10995768397997283,0.944414918270415
212,0.09600570544292819,-0.14936438629766813,0.6647578194865654,0.6427616905384562,1.257530166984688
213,0.09935520648384899,-0.15211019137196546,0.6987935338419207,0.6531791564241012,1.2671587159147981
214,0.10761587275835471,-0.1514054685720274,0.7366441646385711,0.7107792986166752,1.2910936217731246
215,-0.03345333046194443,-0.26034354838903095,-0.14397152412966582,-0.12849686757727974,0.9184639800130171
216,-0.030878940636441143,-0.24431198503407325,-0.12830528508524017,-0.12639142787912994,0.9245911656656671
217,-0.01580854741150528,-0.2434319045833001,-0.028242796604979713,-0.06494032669450583,0.960951216429268
218,-0.04508531908823832,-0.22888110319247468,-0.22350505313141977,-0.19698139540302892,0.8910832545964936
219,-0.007633510216196404,-0.20239411557358855,0.031529191869133034,-0.03771606795268182,0.9810279151624747
220,-0.06254283582207809,-0.26439943602326954,-0.30936002922277017,-0.23654678225778725,0.8509189195945824
221,0.020893202752884976,-0.2507519999485277,0.2085550014706815,0.08332217791751914,1.0530468836631628
222,0.016231250666471908,-0.25005418323605577,0.18076964526118142,0.06491093432797845,1.0410676990307848
223,0.13413978981834562,-0.15387399463449902,0.8926419219757682,0.871750877313424,1.369770345399639
224,0.04613028549853615,-0.21628994064252982,0.35845342342373004,0.2132798472342148,1.1193289462531444
225,-0.05342386889743922,-0.2516283067099897,-0.28349387360124545,-0.21231263523547877,0.8717601909784148
226,0.018894572258355113,-0.17645784920310226,0.2011612444945433,0.10707697245367384,1.0479012049032896
227,0.004731686311816752,-0.17595634563392104,0.10577358554246627,0.02689125132014888,1.0118695932799624
228,0.028161842573731555,-0.1895987091588337,0.25951838961635804,0.14853393622073324,1.0718884163215956
229,-0.08136786106170191,-0.3138936996588547,-0.4989238269743102,-0.25922107117834464,0.8088476026809378
230,-0.04796929218247237,-0.3152929675884171,-0.2613261369616522,-0.15214196672185662,0.8843714183370602
231,-0.03065452751594422,-0.2547227832423524,-0.13782292038642385,-0.12034466303227535,0.9251264393717359
232,-0.08431096624295709,-0.31304967844560994,-0.5509901881200959,-0.26932136350239216,0.8023855959936725
233,-0.0618031057276599,-0.20513780435748763,-0.3937588669640395,-0.30127604183555284,0.8525982939127049
234,-0.16775361271185296,-0.39332929064355493,-1.1765661334887458,-0.4264966192509563,0.6319127072868198
235,-0.08806525884941896,-0.311281997730948,-0.5240887870104478,-0.28291150625914724,0.7941876037895569
236,-0.07532925192045825,-0.3020023635868688,-0.4247560271335296,-0.24943265683677449,0.8222037205449543
237,-0.015464110665838748,-0.18123691941574616,-0.024272573948924875,-0.08532538908568096,0.9617920803917706
238,-0.081218904383621,-0.2942739786066114,-0.49096425338438215,-0.2759975746689968,0.8091754853038275
