profile,profile_name,period_end,return,observations,complete,sample
risk24,24% target-vol,2023-09-30 00:00:00+00:00,-0.0334936785595259,30,True,development
risk24,24% target-vol,2023-10-31 00:00:00+00:00,0.09666266749868391,31,True,development
risk24,24% target-vol,2023-11-30 00:00:00+00:00,0.018146450681377546,30,True,development
risk24,24% target-vol,2023-12-31 00:00:00+00:00,0.07486150489644805,31,True,development
risk24,24% target-vol,2024-01-31 00:00:00+00:00,0.024856339007403694,31,True,historical_validation
risk24,24% target-vol,2024-02-29 00:00:00+00:00,0.1514217177880146,29,True,historical_validation
risk24,24% target-vol,2024-03-31 00:00:00+00:00,-0.007868807219868601,31,True,historical_validation
risk24,24% target-vol,2024-04-30 00:00:00+00:00,-0.024593353824750586,30,True,historical_validation
risk24,24% target-vol,2024-05-31 00:00:00+00:00,0.024449883241404624,31,True,historical_validation
risk24,24% target-vol,2024-06-30 00:00:00+00:00,0.007885418646621956,30,True,historical_validation
risk24,24% target-vol,2024-07-31 00:00:00+00:00,0.022269640500808263,31,True,historical_validation
risk24,24% target-vol,2024-08-31 00:00:00+00:00,0.10799492509611519,31,True,historical_validation
risk24,24% target-vol,2024-09-30 00:00:00+00:00,-0.021218448702282622,30,True,historical_validation
risk24,24% target-vol,2024-10-31 00:00:00+00:00,-0.0015939660007870948,31,True,historical_validation
risk24,24% target-vol,2024-11-30 00:00:00+00:00,0.06593274807653171,30,True,historical_validation
risk24,24% target-vol,2024-12-31 00:00:00+00:00,0.008185357528774917,31,True,historical_validation
risk24,24% target-vol,2025-01-31 00:00:00+00:00,-0.05210685988837038,31,True,historical_validation
risk24,24% target-vol,2025-02-28 00:00:00+00:00,0.060538852659104636,28,True,historical_validation
risk24,24% target-vol,2025-03-31 00:00:00+00:00,0.004886038022212658,31,True,historical_validation
risk24,24% target-vol,2025-04-30 00:00:00+00:00,0.00900306934891515,30,True,historical_validation
risk24,24% target-vol,2025-05-31 00:00:00+00:00,0.03880612583728049,31,True,historical_validation
risk24,24% target-vol,2025-06-30 00:00:00+00:00,-0.0026573368751428017,30,True,historical_validation
risk24,24% target-vol,2025-07-31 00:00:00+00:00,0.110457875319107,31,True,historical_validation
risk24,24% target-vol,2025-08-31 00:00:00+00:00,0.0349371731907302,31,True,historical_validation
risk24,24% target-vol,2025-09-30 00:00:00+00:00,-0.026493030335996703,30,True,historical_validation
risk24,24% target-vol,2025-10-31 00:00:00+00:00,0.023789116678841093,31,True,historical_validation
risk24,24% target-vol,2025-11-30 00:00:00+00:00,0.06505037352149334,30,True,historical_validation
risk24,24% target-vol,2025-12-31 00:00:00+00:00,-0.03171783439755804,31,True,historical_validation
risk24,24% target-vol,2026-01-31 00:00:00+00:00,0.012887465996678893,31,True,historical_validation
risk24,24% target-vol,2026-02-28 00:00:00+00:00,0.05423316571305303,28,True,historical_validation
risk24,24% target-vol,2026-03-31 00:00:00+00:00,-0.012967006611268928,31,True,historical_validation
risk24,24% target-vol,2026-04-30 00:00:00+00:00,-0.002297044658561509,30,True,historical_validation
risk24,24% target-vol,2026-05-31 00:00:00+00:00,0.044950740554387414,31,True,historical_validation
risk24,24% target-vol,2026-06-30 00:00:00+00:00,0.13866092373359473,30,True,historical_validation
