date_utc,risk20_return,risk20_equity_growth_of_1,risk20_drawdown,risk20_btc_end_position,risk20_eth_end_position,risk20_mean_gross_exposure,risk24_return,risk24_equity_growth_of_1,risk24_drawdown,risk24_btc_end_position,risk24_eth_end_position,risk24_mean_gross_exposure,benchmark_return,benchmark_equity_growth_of_1
2023-09-26 00:00:00+00:00,0.0015424151991492163,1.4481504804552376,-0.05401296174168524,-0.12694376772916124,-0.5820585209686117,0.6966469308061686,0.0018462708703494979,1.528176607886095,-0.06756512654434133,-0.15233252127499347,-0.698470225162334,0.8359763169674022,-0.0027948682219156584,0.7737831268423546
2023-09-27 00:00:00+00:00,-0.0055476841770774055,1.4401165989487892,-0.059260999065551156,0.0,-0.12537207564891964,0.6264356979286514,-0.00635534283241268,1.5184645216345054,-0.0734910698340493,0.0,-0.15044649077870356,0.7460628145266659,0.0022158050339931012,0.7754976793900308
2023-09-28 00:00:00+00:00,-0.0028852655686031348,1.4359614801110685,-0.061975280913989295,0.0,0.0,0.11173775696039247,-0.003267951960869264,1.5135022525235196,-0.07651885650914803,0.0,0.0,0.1326948503880184,0.035196047360623206,0.8027921324418957
2023-09-29 00:00:00+00:00,0.0,1.4359614801110685,-0.061975280913989295,0.0,0.0,0.0,0.0,1.5135022525235196,-0.07651885650914803,0.0,0.0,0.0,-0.0017414760244347516,0.8013940891906434
2023-09-30 00:00:00+00:00,0.0,1.4359614801110685,-0.061975280913989295,0.0,0.0,0.0,0.0,1.5135022525235196,-0.07651885650914803,0.0,0.0,0.0,0.006108006308855218,0.8062890093432991
2023-10-01 00:00:00+00:00,-0.000720732607032537,1.4349265358499097,-0.06265134591523724,0.0,0.0,0.047546502733045164,-0.000886216129684092,1.51216096241502,-0.07733726039396871,0.0,0.0,0.05846493477347533,0.0006401953948111938,0.8068051918539675
2023-10-02 00:00:00+00:00,-0.0005415460172931708,1.4341494570993119,-0.06315896334567195,0.25806809309699974,0.0,0.21583788487494174,-0.0006689835723694415,1.5111493515723862,-0.07795450660960246,0.31831736709728237,0.0,0.2660985875361403,0.014874665146177302,0.8188061489209926
2023-10-03 00:00:00+00:00,-0.0075116908445458375,1.4233765697527085,-0.07019622358350308,0.3754192458408034,0.0,0.36322670445055066,-0.009144953926095711,1.4973299603768073,-0.08638657016442175,0.45050309500896396,0.0,0.4373196056076735,-0.017424979394521922,0.8045384686479364
2023-10-04 00:00:00+00:00,0.0033663443785239,1.4281681454668183,-0.06706618386763308,0.31282314336364636,0.0,0.31566847874794707,0.004039295345569238,1.5033781183165387,-0.08269621568963736,0.37538777203637547,0.0,0.37880217449753645,0.0024773465422986973,0.8065315892413877
2023-10-05 00:00:00+00:00,-0.0011829769933983103,1.4264786554080267,-0.06816982310848096,0.3035914157883172,-0.34585832105554304,0.36809012482612585,-0.0012955162640234663,1.5014304675132826,-0.08388459766126177,0.31463964399253386,-0.36470004022009844,0.42504148312468426,-0.009456821120003567,0.7989043642742997
2023-10-06 00:00:00+00:00,-0.003741291208565256,1.4211417833553426,-0.0716560711571611,0.5871894245351889,-0.20524052883309818,0.7064085449907278,-0.004469505270916496,1.4947198161248174,-0.08797918028078255,0.6623420818755128,-0.20524052883309818,0.7504680317666511,0.01717790934105068,0.8126278710159733
2023-10-07 00:00:00+00:00,-0.002377106331854395,1.4177635782236657,-0.07386284338855198,0.6435423992790471,0.0,0.6429629769938496,-0.002853250854442213,1.4904550055323076,-0.0905814044639155,0.7722508791348566,0.0,0.7715555723926194,-0.006308155689156547,0.8075016878882567
2023-10-08 00:00:00+00:00,-0.0010972750115280094,1.4162079016770264,-0.07487907054774934,0.6015304073844551,-0.16491656306437352,0.6857971103655177,-0.0010625639492288785,1.4888713017754813,-0.09154771987829036,0.6881531348075539,-0.16491656306437352,0.800734310216399,0.002259422051788418,0.8093261750087278
2023-10-09 00:00:00+00:00,-0.00014053530155699878,1.4160088744724968,-0.0750090826965466,0.1643174683780761,-0.5552759245758826,0.7822930534995322,-0.0010552199757184466,1.487300215036574,-0.09250633687126175,0.1643174683780761,-0.6325279365000077,0.8554183308661053,-0.0207688167172263,0.7925174280155177
2023-10-10 00:00:00+00:00,0.004420449339737731,1.4222682699667215,-0.07092020720688919,0.1644031668766382,-0.5546806617175207,0.7193215100068421,0.005219602303385695,1.495063330664805,-0.08776958085688702,0.1644031668766382,-0.6318307607696858,0.7965191453415438,-0.009022155217131678,0.7853672127676797
2023-10-11 00:00:00+00:00,0.0001246871166331598,1.4224456084963826,-0.07080436292640357,0.0,-0.4077177387192031,0.5336087170540599,0.00033413062665865745,1.4955628771123743,-0.08746477673528164,0.0,-0.4892612864630435,0.623663793798205,-0.012894814413107247,0.7752400483129012
2023-10-12 00:00:00+00:00,0.008771548777603888,1.434922659534797,-0.06265387807187583,0.0,-0.42471659907493736,0.4156268482282704,0.010532194455377786,1.5113144361543662,-0.077853778316476,0.0,-0.5096599188899248,0.4987522178739244,-0.01074818341807382,0.7669076260805977
2023-10-13 00:00:00+00:00,-0.003993732678235773,1.429191962018672,-0.06639738790983774,0.0,-0.43041110992626086,0.42558691960496814,-0.004793190923344404,1.5040704175166717,-0.08227380121624583,0.0,-0.5164933319115129,0.5107043035259616,0.005572930919639063,0.7711815493024893
2023-10-14 00:00:00+00:00,-0.0026863833523715908,1.4253526045245617,-0.06890540242468735,0.0,-0.4369913268411894,0.43371297377895973,-0.003224267025925487,1.4992208928648028,-0.08523279553781227,0.0,-0.5243895922094272,0.5204555685347516,0.004534453473183264,0.7746784361571788
2023-10-15 00:00:00+00:00,-0.0012985161371571463,1.4235017611664476,-0.07011444378485876,0.0,-0.4390489740706433,0.4382830154757716,-0.0015583535172318808,1.4968845767132994,-0.08665832622833425,0.0,-0.526858768884772,0.5259396185709259,0.004857069625942234,0.7784411032593103
2023-10-16 00:00:00+00:00,0.0011177930866559382,1.425092941593922,-0.06907502413874023,0.46993284294921017,-0.08555537831030034,0.5794476886105643,0.001168921528783784,1.498634317321124,-0.08559070148272707,0.5476971538677788,-0.08555537831030034,0.6731150041104548,0.03767177384877263,0.807766360455884
2023-10-17 00:00:00+00:00,-1.067887916927912e-05,1.4250777231985936,-0.06908496537407316,0.6997153035553682,0.0,0.5549964340773762,6.999863646250937e-05,1.4987392196798925,-0.0855266940786622,0.8396583642664415,0.0,0.6604401653372957,-0.007679679163748454,0.801562973968314
2023-10-18 00:00:00+00:00,-0.007346896419701543,1.4146078247762295,-0.07592430170901276,0.7076771459744496,-0.04213497518714416,0.7622316034288353,-0.008610447484280637,1.485834404336207,-0.09340071845507436,0.8409729035401016,-0.04213497518714416,0.8869001463368246,-0.005827305732529542,0.796892021455125
2023-10-19 00:00:00+00:00,0.00953045204742664,1.428089676816174,-0.06711744257825814,0.6437354781114575,-0.24892970046543073,0.8306540431409669,0.011186330968913971,1.502455439748111,-0.08325919883553323,0.722268513826835,-0.24892970046543073,0.9356737406580491,0.011940658126226023,0.8064074366468379
2023-10-20 00:00:00+00:00,0.01506580304006988,1.4496049946106435,-0.05306281770862542,0.5085126212740968,0.0,0.6653342790405464,0.017664187839457446,1.528995094856236,-0.06706571712366949,0.6102151455289161,0.0,0.7626003461625822,0.0258665809509655,0.8272664398863239
2023-10-21 00:00:00+00:00,0.010579710611839044,1.4649413959551005,-0.04304449635239249,0.513019697282377,0.0,0.5112294094034134,0.012705395948896525,1.5484215829403052,-0.05521241766542584,0.6156236367388522,0.0,0.6134752912840961,0.019757198297774448,0.8436109069842519
2023-10-22 00:00:00+00:00,-0.005912923616521848,1.4562793093781372,-0.04870290114987097,0.40826847438301583,0.0,0.4759835602449982,-0.007094804688664191,1.5374358342336314,-0.06191550103436494,0.4899221692596189,0.0,0.5711802722939977,-0.005285246385789533,0.8391522154871007
2023-10-23 00:00:00+00:00,0.019853332080019825,1.4851913061084834,-0.02981648393963987,0.3324171349699599,0.34492738573837395,0.569581176466298,0.023835330841913693,1.5740811259908036,-0.039555946643848205,0.39890056196395185,0.4139128628860486,0.6834974117595576,0.047749210789537866,0.879221071508902
2023-10-24 00:00:00+00:00,0.03854081803416487,1.542431793983134,0.0,0.25609162287681714,0.2768207762076466,0.5758050795240143,0.046237541230737644,1.6468627669543294,0.0,0.30730994745218054,0.3321849314491758,0.6909660954288172,0.06182840990813632,0.9335819123180252
2023-10-25 00:00:00+00:00,0.008602085231972145,1.5556999237394806,0.0,0.2541677556278365,0.27517889913240984,0.53214170000285,0.010319138564246044,1.663856972042829,0.0,0.3050013067534037,0.3302146789588917,0.6385700400034199,0.01800121217330486,0.9503875184028217
2023-10-26 00:00:00+00:00,-0.004639239530764061,1.5484826591552618,-0.004639239530764061,0.25401318872522677,0.26088173916697205,0.522816196752765,-0.005588458988401546,1.6545585755920016,-0.005588458988401546,0.30481582647027217,0.31305808700036636,0.627379436103318,-0.01049228841593608,0.9404157784528335
2023-10-27 00:00:00+00:00,-0.004855418464216776,1.54096412786048,-0.009472132545703116,0.13727896340097454,0.3738068239814803,0.5126074696716602,-0.005827057884486342,1.6449173669987538,-0.011382952598877338,0.16473475608116941,0.44856818877777616,0.6151289636059921,-0.009581256533038096,0.9314054136317602
2023-10-28 00:00:00+00:00,0.0021430688309245216,1.5442665200524706,-0.007349363146799681,0.1452792645741018,0.38208497390279317,0.5139972612803383,0.0025698076760902744,1.6491444882750015,-0.00884239692175215,0.17433511748892214,0.45850196868335175,0.616796713536406,0.007689766010682275,0.9385677033236712
2023-10-29 00:00:00+00:00,0.005081079407603051,1.55211306086736,-0.0023056264369408774,0.1463598470370361,0.3845463178278761,0.5290400547579938,0.006098729314056861,1.6592021741087595,-0.0027975949930085786,0.17563181644444334,0.4614555813934515,0.6348480657095924,0.011171970932639441,0.9490533544235175
2023-10-30 00:00:00+00:00,-0.00031772190352719054,1.5516199205511716,-0.0026226157924478244,0.14596856708780925,0.3435481795177535,0.4853843454926772,-0.0003912825252675445,1.6585529572921447,-0.003187782868242617,0.17516228050537108,0.4122578154213042,0.5824612145912126,-0.0005716266622166621,0.9485108502222628
2023-10-31 00:00:00+00:00,0.0007913112692887747,1.5528477348799568,-0.0018333798285905534,0.0,0.3553570459280401,0.40545158038117607,0.000752740646643657,1.6598014175177096,-0.002437441795336559,0.0,0.40963309702595246,0.4781149134831737,0.004348568976037637,0.9526355150789744
2023-11-01 00:00:00+00:00,0.001997289248653056,1.5559492209656278,0.0,0.0,0.2818767089390877,0.42428924698503884,0.0024028690906578998,1.6637897030404931,-4.042955822891603e-05,0.0,0.3382520507269053,0.5091314309471713,0.006705552220493072,0.9590234622724327
2023-11-02 00:00:00+00:00,-0.007424437735686129,1.5443971728546793,-0.007424437735686129,0.0,0.27198488055845343,0.417729487451812,-0.009057158484302552,1.6487204960155046,-0.009097221865615124,0.0,0.32638185667014413,0.49564001816037256,0.0010905493229926844,0.960069324659948
2023-11-03 00:00:00+00:00,-0.0022877640708391933,1.5408639564915168,-0.009695216444627341,0.0,0.13553645888248397,0.22062490152160477,-0.002745474888770527,1.6441939752950927,-0.011817720560196143,0.0,0.16264375065898076,0.26474988182592574,-0.008028989578314882,0.9523609380577934
2023-11-04 00:00:00+00:00,0.00253112624121532,1.5447640776859353,-0.00718863002016934,0.0,0.48462480312114126,0.4272496498367988,0.003027843573025546,1.6491723374559972,-0.008825659196416646,0.0,0.5479327480996258,0.4874060162477725,0.008914617464232277,0.960850871508456
2023-11-05 00:00:00+00:00,0.013112059825979516,1.5650191166895773,0.0,0.07407824179743962,0.42699876427363886,0.49936662412308563,0.015355934197477827,1.6744969193502721,0.0,0.08889389015692752,0.5123985171283665,0.5936374329428004,0.01825179732272164,0.9783881268725888
2023-11-06 00:00:00+00:00,0.0023969367323788404,1.5687703684972456,0.0,0.09862388388440661,0.40255421613901404,0.5005913106042784,0.002872994313506405,1.6793077394775495,0.0,0.11834866066128791,0.48306505936681704,0.6007095727251341,0.003494282104150148,0.9818068909952327
2023-11-07 00:00:00+00:00,-0.003748174615366806,1.5628903432247045,-0.003748174615366806,0.0,0.310909992051524,0.4398524800933103,-0.004503806328057025,1.6717444626537354,-0.004503806328057025,0.0,0.3730919904618288,0.5278229761119723,0.005307716478432756,0.9870180436092069
