scenario,lookback,entry_z,exit_z,target_vol,max_gross,fee,lag_bars,offset_hours,side,include_funding,use_trend_filter,trend_horizon_days,trend_required,turnover,active_share,mean_active_gross,realised_full_vol,dev_cagr,dev_max_dd,dev_sharpe,dev_calmar,dev_multiple,oos_cagr,oos_max_dd,oos_sharpe,oos_calmar,oos_multiple,full_cagr,full_max_dd,full_sharpe,full_calmar,full_multiple
trend_vote_20_60_120_r2,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"20,60,120",2,325.69824769072557,0.5993428858264124,0.3216178302152384,0.15218216163025092,0.2650947183408918,-0.1004590286986351,1.701550745367793,2.6388341772260593,1.8011598374814866,0.3230621634569206,-0.08084693545776978,1.8318196986607664,3.99597290395344,2.013302421583723,0.2937379605102668,-0.1004590286986351,1.7681024195059687,2.9239577996662205,3.626279462460825
trend_vote_15_30_60_120_r2,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"15,30,60,120",2,389.170031169923,0.7158893857807794,0.33493522700173,0.16731754314336836,0.32641790944939975,-0.12532178226454804,1.8534270930720214,2.604638264402814,2.027658620363796,0.3546378771213343,-0.09607096768859624,1.8205161161701138,3.691415686275328,2.135565631192688,0.340445909686349,-0.12532178226454804,1.8346178471543109,2.7165741145277096,4.330198061440511
trend_vote_30_60_120_200_r2,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120,200",2,337.58198939913666,0.6507255635666697,0.3262597660709767,0.15761315249835203,0.3165000922063712,-0.08147740046765595,1.911233616097038,3.884513869978119,1.9899323927732537,0.30131887532385515,-0.09061969846319429,1.6764029078300453,3.3250924515737332,1.9316132563422217,0.30889162857591357,-0.09061969846319406,1.786433868624189,3.4086587553739482,3.8437797891056187
trend_vote_15_30_60_120_200_r3,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"15,30,60,120,200",3,329.4279780920616,0.6123939034407229,0.3251786240610741,0.15362218500440666,0.2743314033003921,-0.07933815404638045,1.7522601026363618,3.457748754023444,1.8342485328998979,0.2967695466066014,-0.0964270975716427,1.679820189816304,3.077657153230291,1.9147777939172619,0.2854953786707768,-0.09642709757164203,1.7113307978271517,2.96073806907507,3.5121783593220366
risk_0.12,180,1.0,0.25,0.12,1.0,0.0005,1,0,both,True,True,"30,60,120",2,171.0205632081023,0.6013507346901524,0.16670278011063794,0.07954805519760433,0.1411897984132635,-0.051741838219729774,1.7625009618497591,2.728735647420933,1.3916566823260128,0.16657955084103437,-0.050675759057689174,1.9104938588845801,3.2871643945461297,1.4698160930413413,0.15380789057563415,-0.051741838219729774,1.838388265620392,2.9726019768077236,2.0454793876712967
risk_0.16,180,1.0,0.25,0.16,1.0,0.0005,1,0,both,True,True,"30,60,120",2,219.18170900731957,0.6006206078306106,0.21691176792427583,0.10458009192188204,0.18512626752342665,-0.06670331746707292,1.7463988375078126,2.775368220850656,1.529636619801532,0.23177303892192258,-0.06425611877793236,1.968660989127349,3.6070189630177443,1.6838203447813005,0.20821179353328478,-0.06670331746707292,1.8609150862821284,3.121460842424597,2.5756332605443184
risk_0.20,180,1.0,0.25,0.2,1.0,0.0005,1,0,both,True,True,"30,60,120",2,263.2746126387343,0.5945057953819476,0.26703414427450173,0.1286499349825927,0.2298804066215494,-0.07618066863474104,1.7451418902163354,3.0175687709403474,1.6783111667209012,0.2999339702918653,-0.07747529783937768,2.0213565053982836,3.8713496902417917,1.9264788486081026,0.26440295971454963,-0.07747529783937779,1.8878222406873812,3.4127388611362464,3.2332309640706027
risk_0.24,180,1.0,0.25,0.24,1.0,0.0005,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.151897544646094,0.2693701856284634,-0.09340071845507436,1.7250049624448107,2.8840269120416897,1.816430945464593,0.3683777089213385,-0.0905428550745706,2.049328686529188,4.0685453161151655,2.1901222794825226,0.3179174721856548,-0.09340071845507436,1.8931171512198786,3.4038011424780716,3.9782058828034916
risk_0.28,180,1.0,0.25,0.28,1.0,0.0005,1,0,both,True,True,"30,60,120",2,349.65888749018495,0.5789905996166834,0.36844618353734887,0.174757660300862,0.3088281054990276,-0.10944082742450001,1.7119036755717763,2.821872903986211,1.9610403837548305,0.43882108205954906,-0.10349987010967665,2.069533619992744,4.239822538854779,2.482921028498784,0.37225065872492147,-0.10944082742450001,1.8978191615728206,3.401387466498517,4.869108406560193
fee_3bp,180,1.0,0.25,0.24,1.0,0.0003,1,0,both,True,True,"30,60,120",2,306.64008243452895,0.5856530072100027,0.3181583381542981,0.15187774524581318,0.2823221862526919,-0.0902537028021938,1.7951532219240596,3.128095330021512,1.8631662597324643,0.38817875208113684,-0.08786588102225057,2.1403946279917365,4.417855344588613,2.2702032045717195,0.33417207678529914,-0.0902537028021938,1.9741102149189096,3.7025857821888324,4.22976601349455
