symbol,perp_venue,spot_venue,venue_label,quote_bridged,entry_time,exit_time,entry_ms,exit_ms,duration_days,epochs,entry_basis_bps,exit_basis_bps,funding_received,drift_quote,fees_paid,pnl_quote,pnl_pct,exit_reason,exit_reason_vi,still_open
BNBUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-08-22 09:00,2026-09-16 08:00,1787389200006,1789545600035,24.958,599,8.17,8.17,424.924,-0.0,-145.0,279.924,0.3732,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
LINKUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-08-22 09:00,2026-09-16 08:00,1787389200006,1789545600035,24.958,599,8.62,8.62,428.9761,-0.0,-145.0,283.9761,0.3786,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
AAVEUSDT,kraken_futures,binance_spot,KRK ← BIN-S,True,2026-08-22 20:00,2026-09-16 08:00,1787428800000,1789545600000,24.5,588,11.8,11.8,-21.9913,-0.0,-150.0,-171.9913,-0.2293,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
BTCUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-08-24 10:00,2026-09-16 09:00,1787565600056,1789549200091,22.958,551,5.64,5.64,278.3398,-0.0,-145.0,133.3398,0.1778,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
BNBUSDT,kraken_futures,binance_spot,KRK ← BIN-S,True,2026-08-24 12:00,2026-09-16 08:00,1787572800000,1789545600000,22.833,548,11.48,11.48,68.9998,-0.0,-150.0,-81.0002,-0.108,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
LTCUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-08-24 16:00,2026-09-16 08:00,1787587200005,1789545600035,22.667,544,5.15,5.15,334.2023,-0.0,-145.0,189.2023,0.2523,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
ETHUSDT,kraken_futures,binance_spot,KRK ← BIN-S,True,2026-08-27 16:00,2026-09-16 08:00,1787846400000,1789545600000,19.667,472,5.51,5.51,196.9844,-0.0,-150.0,46.9844,0.0626,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
DOGEUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-08-28 13:00,2026-09-16 08:00,1787922000059,1789545600035,18.792,451,5.53,5.53,269.466,-0.0,-145.0,124.466,0.166,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
AAVEUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-09-02 04:00,2026-09-16 08:00,1788321600068,1789545600035,14.167,340,8.32,8.32,200.9376,-0.0,-145.0,55.9376,0.0746,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
UNIUSDT,hyperliquid_futures,binance_spot,HYP ← BIN-S,True,2026-09-08 16:00,2026-09-16 08:00,1788883200040,1789545600035,7.667,184,8.17,8.17,109.21,-0.0,-145.0,-35.79,-0.0477,open,Còn mở ở cuối cửa sổ — chưa hiện thực hoá,True
